ID	CRISPRtype	MLST	CRISPR_incomplete	CRISPR_array	Anycas	Ambiguous	I-Fab	P1virus	P1virus(incomplete)
ab07526		2						P1virus	P1virus(incomplete)
ab07527		2						P1virus	P1virus(incomplete)
ab07528		2						P1virus	P1virus(incomplete)
ab07529		2						P1virus	P1virus(incomplete)
ab07530		2						P1virus	P1virus(incomplete)
ab07531		2						P1virus	P1virus(incomplete)
ab07532		2						P1virus	P1virus(incomplete)
ab07533		2						P1virus	P1virus(incomplete)
ab07534		2						P1virus	P1virus(incomplete)
ab07535		2						P1virus	P1virus(incomplete)
ab07536		2						P1virus	P1virus(incomplete)
ab07537		2						P1virus	P1virus(incomplete)
ab07538		2						P1virus	P1virus(incomplete)
ab07539		2						P1virus	P1virus(incomplete)
ab07540		2						P1virus	P1virus(incomplete)
ab07541		2						P1virus	P1virus(incomplete)
ab07542		2						P1virus	P1virus(incomplete)
ab07543		2						P1virus	P1virus(incomplete)
ab07544		2						P1virus	P1virus(incomplete)
ab07545		2						P1virus	P1virus(incomplete)
ab07546		2						P1virus	P1virus(incomplete)
ab07547		2						P1virus	P1virus(incomplete)
ab07548		2						P1virus	P1virus(incomplete)
ab07549		2						P1virus	P1virus(incomplete)
ab07550		2						P1virus	P1virus(incomplete)
ab07551		2						P1virus	P1virus(incomplete)
ab07552		2						P1virus	P1virus(incomplete)
ab07553		2						P1virus	P1virus(incomplete)
ab07554		2						P1virus	P1virus(incomplete)
ab07555		2						P1virus	P1virus(incomplete)
ab07556		2						P1virus	P1virus(incomplete)
ab07557		2						P1virus	P1virus(incomplete)
ab07558		2						P1virus	P1virus(incomplete)
ab07559		2						P1virus	P1virus(incomplete)
ab07560		2						P1virus	P1virus(incomplete)
ab07561		2						P1virus	P1virus(incomplete)
ab07562		2						P1virus	P1virus(incomplete)
ab07563		2						P1virus	P1virus(incomplete)
ab07564		2						P1virus	P1virus(incomplete)
ab07565		2						P1virus	P1virus(incomplete)
ab07566		2						P1virus	P1virus(incomplete)
ab07567		2						P1virus	P1virus(incomplete)
ab07568		2						P1virus	P1virus(incomplete)
ab07569		2						P1virus	P1virus(incomplete)
ab07570		2						P1virus	P1virus(incomplete)
ab07571		2						P1virus	P1virus(incomplete)
ab07572		2						P1virus	P1virus(incomplete)
ab07573		2						P1virus	P1virus(incomplete)
ab07574		2						P1virus	P1virus(incomplete)
ab07575		2						P1virus	P1virus(incomplete)
ab07576		2						P1virus	P1virus(incomplete)
ab07577		2						P1virus	P1virus(incomplete)
ab07578	I-F	193					I-Fb		
ab07579		2						P1virus	P1virus(incomplete)
ab07580		2						P1virus	P1virus(incomplete)
ab07581		2							
ab07582		2						P1virus	P1virus(incomplete)
ab07583		2						P1virus	P1virus(incomplete)
ab07584		2						P1virus	P1virus(incomplete)
ab07585		2						P1virus	P1virus(incomplete)
ab07586		2						P1virus	P1virus(incomplete)
ab07587		2						P1virus	P1virus(incomplete)
ab07588		2						P1virus	P1virus(incomplete)
ab07589		2						P1virus	P1virus(incomplete)
ab07590		2							
ab07591		2						P1virus	P1virus(incomplete)
ab07592		2						P1virus	P1virus(incomplete)
ab07593	I-F	150					I-Fa		
ab07594		2						P1virus	
ab07595		2						P1virus	P1virus(incomplete)
ab07596		2						P1virus	
ab07597		2						P1virus	P1virus(incomplete)
ab07598		23						P1virus	P1virus(incomplete)
ab07599		2						P1virus	
ab07600		2						P1virus	
ab07601		2						P1virus	P1virus(incomplete)
ab07602		2			anycas	ambiguous		P1virus	P1virus(incomplete)
ab07603		2						P1virus	P1virus(incomplete)
ab07604		2						P1virus	
ab07605		2						P1virus	
ab07606		2						P1virus	
ab07607		2						P1virus	P1virus(incomplete)
ab07608		1							
ab07609		374						P1virus	P1virus(incomplete)
ab07610		2						P1virus	
ab07611		2			anycas	ambiguous		P1virus	P1virus(incomplete)
ab07612		2						P1virus	
ab07613	I-F	52					I-Fa		
ab07614		2						P1virus	
ab07615	I-F	1					I-Fb	P1virus	
ab07616		2						P1virus	
ab07617		2						P1virus	
ab07618		2						P1virus	
ab07619		2						P1virus	
ab07620		2						P1virus	
ab07621		2						P1virus	
ab07622		2						P1virus	
ab07623		2						P1virus	
ab07624		2						P1virus	P1virus(incomplete)
ab07625		2						P1virus	
ab07626		2						P1virus	
ab07627		2						P1virus	P1virus(incomplete)
ab07628		2						P1virus	
ab07629		2						P1virus	
ab07630		2						P1virus	P1virus(incomplete)
ab07631		2						P1virus	
ab07632		2						P1virus	
ab07633		2						P1virus	
ab07634		2						P1virus	
ab07635		2						P1virus	
ab07636		2						P1virus	
ab07637		2						P1virus	
ab07638		2						P1virus	
ab07639		2						P1virus	
ab07640		2						P1virus	
ab07641	I-F	1					I-Fb	P1virus	
ab07642	I-F	1					I-Fb	P1virus	
ab07643		2						P1virus	
ab07644		2						P1virus	
ab07645		2						P1virus	
ab07646		2						P1virus	
ab07647		2						P1virus	
ab07648		2						P1virus	
ab07649		2						P1virus	
ab07650		2						P1virus	
ab07651		2						P1virus	
ab07652		2						P1virus	
ab07653		2						P1virus	
ab07654		2						P1virus	
ab07655		2						P1virus	
ab07656		162							
ab07657		79							
ab07658		79							
ab07659		1							
ab07660	I-F	1448					I-Fb		
ab07661	I-F	25					I-Fb		
ab07662		15							
ab07663		825							
ab07664	I-F	126					I-Fb		
ab07665		10						P1virus	
ab07666	I-F	19					I-Fb	P1virus	P1virus(incomplete)
ab07667		400							
ab07668	I-F	1					I-Fb		
ab07669		78							
ab07670		400							
ab07671		15							
ab07672		400							
ab07673	I-F	19					I-Fb		
ab07674	I-F	19					I-Fb		
ab07675	I-F	79					I-Fa		
ab07676	I-F	79					I-Fa		
ab07677		2						P1virus	P1virus(incomplete)
ab07678		2						P1virus	
ab07679		2						P1virus	
ab07680		2						P1virus	
ab07681		2						P1virus	
ab07682		2						P1virus	P1virus(incomplete)
ab07683		2							
ab07684		2						P1virus	P1virus(incomplete)
ab07685		187						P1virus	
ab07686		2						P1virus	
ab07687		2						P1virus	P1virus(incomplete)
ab07688		2						P1virus	P1virus(incomplete)
ab07689		2						P1virus	P1virus(incomplete)
ab07690		2						P1virus	P1virus(incomplete)
ab07691		-						P1virus	P1virus(incomplete)
ab07692		2						P1virus	
ab07693		2						P1virus	P1virus(incomplete)
ab07694		2							
ab07695		-						P1virus	P1virus(incomplete)
ab07696		2						P1virus	P1virus(incomplete)
ab07697		2						P1virus	P1virus(incomplete)
ab07698		2						P1virus	P1virus(incomplete)
ab07699		2						P1virus	P1virus(incomplete)
ab07700		2						P1virus	
ab07701		2						P1virus	P1virus(incomplete)
ab07702		2			anycas	ambiguous		P1virus	P1virus(incomplete)
ab07703	I-F	25					I-Fb		
ab07704		2						P1virus	P1virus(incomplete)
ab07705		2						P1virus	P1virus(incomplete)
ab07706		2						P1virus	
ab07707		2						P1virus	P1virus(incomplete)
ab07708		2						P1virus	P1virus(incomplete)
ab07709		2						P1virus	
ab07710		2							
ab07711		2						P1virus	P1virus(incomplete)
ab07712		2							
ab07713		2						P1virus	
ab07714		2						P1virus	
ab07715		2						P1virus	P1virus(incomplete)
ab07716		187						P1virus	P1virus(incomplete)
ab07717		2						P1virus	
ab07718		2						P1virus	
ab07719		2						P1virus	
ab07720		149							
ab07721		2						P1virus	P1virus(incomplete)
ab07722	I-F	25					I-Fb		
ab07723		2						P1virus	P1virus(incomplete)
ab07724		2						P1virus	P1virus(incomplete)
ab07725		2						P1virus	P1virus(incomplete)
ab07726		2						P1virus	P1virus(incomplete)
ab07727		2							
ab07728		2						P1virus	
ab07729		2						P1virus	P1virus(incomplete)
ab07730	I-F	25					I-Fb		
ab07731	I-F,I-F	-					I-Fb		
ab07732		10						P1virus	P1virus(incomplete)
ab07733		103						P1virus	P1virus(incomplete)
ab07734		2						P1virus	P1virus(incomplete)
ab07735	I-F,I-F	-					I-Fb		
ab07736		2						P1virus	P1virus(incomplete)
ab07737		2						P1virus	P1virus(incomplete)
ab07738		2						P1virus	
ab07739		1278			anycas	ambiguous			
ab07740		2						P1virus	P1virus(incomplete)
ab07741		2						P1virus	P1virus(incomplete)
ab07742		2						P1virus	P1virus(incomplete)
ab07743		149							
ab07744		2						P1virus	P1virus(incomplete)
ab07745		2							
ab07746		2						P1virus	P1virus(incomplete)
ab07747		2							
ab07748		2						P1virus	P1virus(incomplete)
ab07749		2							
ab07750	I-F	25					I-Fb		
ab07751		2						P1virus	P1virus(incomplete)
ab07752		10							
ab07753		2						P1virus	P1virus(incomplete)
ab07754		2						P1virus	P1virus(incomplete)
ab07755		2						P1virus	P1virus(incomplete)
ab07756		2							
ab07757		622							
ab07758		2						P1virus	P1virus(incomplete)
ab07759		149							
ab07760		976							
ab07761	I-F	1					I-Fb		
ab07762		10							
ab07763		2						P1virus	
ab07764		2						P1virus	
ab07765		2						P1virus	
ab07766		2							
ab07767		1512						P1virus	
ab07768		10							
ab07769		149							
ab07770		2						P1virus	P1virus(incomplete)
ab07771		2						P1virus	P1virus(incomplete)
ab07772		2						P1virus	P1virus(incomplete)
ab07773		1512						P1virus	
ab07774		2						P1virus	
ab07775		2							
ab07776	I-F	132					I-Fb		
ab07777	I-F	132					I-Fb		
ab07778		-							
ab07779		2						P1virus	P1virus(incomplete)
ab07780		2						P1virus	P1virus(incomplete)
ab07781		406							
ab07782	I-F	108					I-Fa		
ab07783		2							
ab07784		2							
ab07785		2							
ab07786		2							
ab07787		2							
ab07788		10							
ab07789		2						P1virus	
ab07790	I-F	106					I-Fb		
ab07791		2							
ab07792		2							
ab07793		2							
ab07794		2						P1virus	
ab07795		149							
ab07796		2						P1virus	P1virus(incomplete)
ab07797	I-F	52					I-Fa		
ab07798		2						P1virus	P1virus(incomplete)
ab07799	I-F	52					I-Fa		
ab07800		2						P1virus	P1virus(incomplete)
ab07801		2						P1virus	
ab07802		2						P1virus	P1virus(incomplete)
ab07803	I-F	25					I-Fb		
ab07804		2						P1virus	P1virus(incomplete)
ab07805		2						P1virus	P1virus(incomplete)
ab07806		2						P1virus	P1virus(incomplete)
ab07807		2						P1virus	P1virus(incomplete)
ab07808		2						P1virus	P1virus(incomplete)
ab07809		2						P1virus	P1virus(incomplete)
ab07810		2						P1virus	
ab07811		2						P1virus	
ab07812	I-F	25					I-Fb		
ab07813		2						P1virus	
ab07814		2						P1virus	
ab07815		2						P1virus	P1virus(incomplete)
ab07816		2						P1virus	
ab07817	I-F	25					I-Fb		
ab07818		2						P1virus	
ab07819		2						P1virus	
ab07820		2						P1virus	
ab07821		2						P1virus	
ab07822		2						P1virus	
ab07823		2						P1virus	
ab07824		2						P1virus	P1virus(incomplete)
ab07825		2						P1virus	
ab07826		2						P1virus	
ab07827		2						P1virus	P1virus(incomplete)
ab07828		2						P1virus	
ab07829		2						P1virus	P1virus(incomplete)
ab07830		2						P1virus	P1virus(incomplete)
ab07831		2						P1virus	
ab07832		2						P1virus	
ab07833		149							
ab07834		2						P1virus	
ab07835		2						P1virus	
ab07836		2						P1virus	
ab07837		2						P1virus	P1virus(incomplete)
ab07838		2						P1virus	
ab07839		2						P1virus	
ab07840		2						P1virus	
ab07841		10						P1virus	P1virus(incomplete)
ab07842		2						P1virus	
ab07843		2						P1virus	
ab07844		2						P1virus	P1virus(incomplete)
ab07845		2						P1virus	
ab07846		2						P1virus	
ab07847		2						P1virus	
ab07848		2						P1virus	P1virus(incomplete)
ab07849		2						P1virus	P1virus(incomplete)
ab07850		2						P1virus	P1virus(incomplete)
ab07851		2						P1virus	
ab07852	I-F	-					I-Fb		
ab07853		2						P1virus	
ab07854		2						P1virus	P1virus(incomplete)
ab07855		2						P1virus	P1virus(incomplete)
ab07856	I-F	25					I-Fb		
ab07857		2						P1virus	
ab07858		2						P1virus	
ab07859		2						P1virus	
ab07860		2							
ab07861		2						P1virus	P1virus(incomplete)
ab07862	I-F	1					I-Fb		
ab07863		2						P1virus	P1virus(incomplete)
ab07864		187						P1virus	
ab07865		2						P1virus	
ab07866	I-F	25					I-Fb		
ab07867		2						P1virus	
ab07868		2						P1virus	P1virus(incomplete)
ab07869		2						P1virus	
ab07870		2						P1virus	
ab07871		2						P1virus	P1virus(incomplete)
ab07872		2						P1virus	
ab07873		2						P1virus	P1virus(incomplete)
ab07874		2						P1virus	P1virus(incomplete)
ab07875		2						P1virus	P1virus(incomplete)
ab07876		2						P1virus	
ab07877		2						P1virus	
ab07878		2						P1virus	
ab07879		2						P1virus	
ab07880		2						P1virus	
ab07881		2						P1virus	P1virus(incomplete)
ab07882		2						P1virus	
ab07883	I-F	1					I-Fb		
ab07884		2						P1virus	P1virus(incomplete)
ab07885		2						P1virus	P1virus(incomplete)
ab07886		2						P1virus	
ab07887		2						P1virus	
ab07888		2						P1virus	
ab07889		2						P1virus	
ab07890		2						P1virus	
ab07891		2						P1virus	P1virus(incomplete)
ab07892		2						P1virus	
ab07893		2						P1virus	
ab07894		2						P1virus	P1virus(incomplete)
ab07895		2						P1virus	
ab07896		2						P1virus	
ab07897		2						P1virus	
ab07898		2						P1virus	
ab07899		2						P1virus	
ab07900		2						P1virus	
ab07901		2						P1virus	
ab07902		2						P1virus	P1virus(incomplete)
ab07903		2						P1virus	P1virus(incomplete)
ab07904		2						P1virus	
ab07905		2						P1virus	
ab07906		2						P1virus	P1virus(incomplete)
ab07907		2						P1virus	P1virus(incomplete)
ab07908		2						P1virus	P1virus(incomplete)
ab07909		2						P1virus	
ab07910	I-F	52					I-Fa		
ab07911		2							
ab07912		49		arrays	anycas	ambiguous			
ab07913		2						P1virus	
ab07914		2						P1virus	
ab07915		2						P1virus	
ab07916		2						P1virus	
ab07917		2						P1virus	
ab07918		1							
ab07919	I-F	79					I-Fa	P1virus	
ab07920	I-F	79					I-Fa	P1virus	
ab07921		-							
ab07922		172							
ab07923	I-F	25					I-Fb		
ab07924		15						P1virus	
ab07925	I-F,I-F	1472					I-Fa,I-Fb		
ab07926		103						P1virus	
ab07927		103						P1virus	
ab07928		107							
ab07929	I-F	25					I-Fb		
ab07930		2						P1virus	
ab07931		2							
ab07932		2						P1virus	
ab07933		2							
ab07934	I-F	1					I-Fb		
ab07935		2						P1virus	
ab07936		2						P1virus	
ab07937		2						P1virus	
ab07938		10							
ab07939		10							
ab07940		10						P1virus	
ab07941		2						P1virus	
ab07942		2						P1virus	
ab07943		2						P1virus	
ab07946		406						P1virus	
ab07947		15							
ab07948		15							
ab07949		15							
ab07950		23			anycas	ambiguous			
ab07951		2						P1virus	
ab07952		1						P1virus	P1virus(incomplete)
ab07953		1							
ab07954		1						P1virus	P1virus(incomplete)
ab07955		2						P1virus	
ab07956		2						P1virus	
ab07957		2						P1virus	
ab07958		2						P1virus	
ab07959		2						P1virus	
ab07960		2						P1virus	
ab07961		2						P1virus	
ab07962		2						P1virus	
ab07963		172							
ab07964		636						P1virus	
ab07965	I-F	1					I-Fb		
ab07966		492							
ab07967		2						P1virus	
ab07968		2						P1virus	P1virus(incomplete)
ab07969		2						P1virus	P1virus(incomplete)
ab07970	I-F	-	incomplete				I-Fa		
ab07971	I-F	-	incomplete				I-Fa		
ab07972		-							
ab07973		2							
ab07974		2							
ab07975		2							
ab07976		437							
ab07977		2						P1virus	P1virus(incomplete)
ab07979		570						P1virus	
ab07980	I-F	108					I-Fa		
ab07981		2						P1virus	P1virus(incomplete)
ab07982		2						P1virus	P1virus(incomplete)
ab07983		1093							
ab07984		16						P1virus	
ab07985		374							
ab07986		239							
ab07987		2						P1virus	
ab07988		2						P1virus	
ab07989		2						P1virus	
ab07990		2						P1virus	
ab07991		2						P1virus	
ab07992		2						P1virus	
ab07993		2						P1virus	
ab07994		2						P1virus	
ab07995		2						P1virus	
ab07996		2						P1virus	
ab07997		1479			anycas	ambiguous			
ab07998		2						P1virus	
ab07999	I-F	16	incomplete				I-Fa		
ab08000	I-F	16	incomplete				I-Fa		
ab08001		203		arrays		ambiguous			
ab08002	I-F	52					I-Fa		
ab08003	I-F	52					I-Fa		
ab08004	I-F	52					I-Fa		
ab08005	I-F	213					I-Fb		
ab08006		1548							
ab08007		63						P1virus	
ab08008	I-F	52					I-Fa		
ab08009		2						P1virus	
ab08010	I-F	138					I-Fa		
ab08011	I-F	-					I-Fa	P1virus	
ab08012	I-F	1					I-Fb		
ab08013	I-F	1					I-Fb		
ab08014		103							
ab08015		-							
ab08016		-							
ab08017	I-F	1					I-Fb		
ab08018	I-F	-					I-Fa		
ab08019		2						P1virus	P1virus(incomplete)
ab08020	I-F	1					I-Fb		
ab08021		2							
ab08022		2						P1virus	P1virus(incomplete)
ab08023		2						P1virus	P1virus(incomplete)
ab08024		2						P1virus	
ab08025		2						P1virus	P1virus(incomplete)
ab08026		2							
ab08027		2							
ab08028		-						P1virus	P1virus(incomplete)
ab08029		664							
ab08030		2						P1virus	P1virus(incomplete)
ab08031		2						P1virus	
ab08032		2							
ab08033		103							
ab08034		664							
ab08035		158							
ab08036	I-F	-					I-Fb		
ab08037		158							
ab08038		158							
ab08039	I-F	1					I-Fb		
ab08040	I-F	1					I-Fb		
ab08041	I-F	1					I-Fb		
ab08042		158							
ab08043		158							
ab08044		158							
ab08045		15							
ab08046		2							
ab08047		158							
ab08048		158							
ab08049		2						P1virus	P1virus(incomplete)
ab08050	I-F	19					I-Fb		
ab08051	I-F	25					I-Fb		
ab08052		85							
ab08053		664							
ab08054		2						P1virus	
ab08055		1535							
ab08056		158							
ab08057		664							
ab08058		158							
ab08059		15							
ab08060	I-F,I-F	1	incomplete				I-Fb		
ab08061	I-F	1					I-Fb	P1virus	P1virus(incomplete)
ab08062	I-F	25	incomplete				I-Fb		
ab08063		664							
ab08064		600						P1virus	P1virus(incomplete)
ab08065		2							
ab08066		2						P1virus	P1virus(incomplete)
ab08067		570						P1virus	P1virus(incomplete)
ab08068	I-F	1	incomplete				I-Fb		
ab08069	I-F	1					I-Fb		
ab08070	I-F	1					I-Fb		
ab08071	I-F	1					I-Fb		
ab08072	I-F	106					I-Fb		
ab08073		2						P1virus	P1virus(incomplete)
ab08074		2						P1virus	P1virus(incomplete)
ab08075		2						P1virus	P1virus(incomplete)
ab08076	I-F	-					I-Fa		
ab08077		142							
ab08078		23			anycas	ambiguous		P1virus	
ab08079		2						P1virus	
ab08080		2						P1virus	P1virus(incomplete)
ab08081	I-F,I-F	-					I-Fa,I-Fb		
ab08082		36							
ab08083		49		arrays	anycas	ambiguous			
ab08084		2						P1virus	
ab08085		763							
ab08086	I-F,I-F	1137					I-Fa,I-Fb		
ab08087		2						P1virus	
ab08088		2						P1virus	P1virus(incomplete)
ab08089		2						P1virus	
ab08090		2						P1virus	P1virus(incomplete)
ab08091		2						P1virus	
ab08092		2						P1virus	P1virus(incomplete)
ab08093		2						P1virus	
ab08094	I-F	-					I-Fb		
ab08095		2						P1virus	P1virus(incomplete)
ab08096		2						P1virus	P1virus(incomplete)
ab08097		2						P1virus	
ab08098		2						P1virus	
ab08099		40							
ab08100		2						P1virus	
ab08101		2						P1virus	
ab08102		2						P1virus	
ab08103		2						P1virus	P1virus(incomplete)
ab08104		2						P1virus	
ab08105		2						P1virus	
ab08106		2						P1virus	
ab08107		2						P1virus	P1virus(incomplete)
ab08108		2						P1virus	
ab08109		2						P1virus	P1virus(incomplete)
ab08110		2						P1virus	P1virus(incomplete)
ab08111		2						P1virus	P1virus(incomplete)
ab08112		2						P1virus	
ab08113		2						P1virus	
ab08114		2						P1virus	
ab08115		2						P1virus	
ab08116		2						P1virus	
ab08117		2						P1virus	P1virus(incomplete)
ab08118		2						P1virus	
ab08119		2						P1virus	
ab08120		2						P1virus	
ab08121		2						P1virus	P1virus(incomplete)
ab08122		2						P1virus	
ab08123		2						P1virus	P1virus(incomplete)
ab08124		2						P1virus	
ab08125		2						P1virus	
ab08126		2						P1virus	
ab08127		2						P1virus	P1virus(incomplete)
ab08128		2						P1virus	P1virus(incomplete)
ab08129		2						P1virus	P1virus(incomplete)
ab08130		2						P1virus	P1virus(incomplete)
ab08131		2						P1virus	P1virus(incomplete)
ab08132		2						P1virus	P1virus(incomplete)
ab08133		2						P1virus	
ab08134		2						P1virus	
ab08135		2						P1virus	
ab08136	I-F	1					I-Fb	P1virus	P1virus(incomplete)
ab08137		172							
ab08138	I-F	52					I-Fa		
ab08139		437							
ab08140		-							
ab08141		2							
ab08142		2							
ab08143		2							
ab08144		2							
ab08145		2							
ab08146		2							
ab08147		-							
ab08148		49			anycas	ambiguous			
ab08149		-							
ab08150		-							
ab08151		-							
ab08152	I-F	126					I-Fb	P1virus	
ab08153		2						P1virus	P1virus(incomplete)
ab08154		2							
ab08155		2						P1virus	P1virus(incomplete)
ab08156		2							
ab08157		2							
ab08158		499						P1virus	
ab08159		499						P1virus	P1virus(incomplete)
ab08160		1088							
ab08161		499						P1virus	
ab08162		46							
ab08163		499							
ab08164		2							
ab08165		2							
ab08166		2						P1virus	P1virus(incomplete)
ab08167		2						P1virus	P1virus(incomplete)
ab08168		2							
ab08169		2							
ab08170		2							
ab08171		2							
ab08172		1088							
ab08173		2						P1virus	
ab08174		2							
ab08175		2						P1virus	
ab08176		2							
ab08177		2						P1virus	P1virus(incomplete)
ab08178		2							
ab08179		2						P1virus	P1virus(incomplete)
ab08180		2						P1virus	
ab08181		2							
ab08182		2							
ab08183	I-F	79					I-Fa		
ab08184		2							
ab08185		2						P1virus	P1virus(incomplete)
ab08186		2							
ab08187		2							
ab08188		2							
ab08189		2							
ab08190		2							
ab08191		499							
ab08192		2							
ab08193		2							
ab08194		2							
ab08195		2							
ab08196		2						P1virus	
ab08197		499							
ab08198		2						P1virus	
ab08199		2							
ab08200		2							
ab08201		2							
ab08202		1088							
ab08203		1088							
ab08204		2							
ab08205		1562							
ab08206		195							
ab08207		1091							
ab08208		2						P1virus	P1virus(incomplete)
ab08209		46							
ab08210		499							
ab08211		2						P1virus	
ab08212		2						P1virus	P1virus(incomplete)
ab08213		2						P1virus	P1virus(incomplete)
ab08214		2						P1virus	P1virus(incomplete)
ab08215		2						P1virus	P1virus(incomplete)
ab08216		2						P1virus	P1virus(incomplete)
ab08217		2						P1virus	P1virus(incomplete)
ab08218		2						P1virus	P1virus(incomplete)
ab08219		2						P1virus	P1virus(incomplete)
ab08220		1573							
ab08221		2						P1virus	P1virus(incomplete)
ab08222		2						P1virus	P1virus(incomplete)
ab08223		2						P1virus	P1virus(incomplete)
ab08224		2						P1virus	P1virus(incomplete)
ab08225		2						P1virus	P1virus(incomplete)
ab08226		499							
ab08227		-							
ab08228		499							
ab08229		499						P1virus	
ab08230		499							
ab08231		499							
ab08232		499						P1virus	
ab08233		499						P1virus	P1virus(incomplete)
ab08234		499							
ab08235		499							
ab08236		499							
ab08237		499							
ab08238		499							
ab08239		2							
ab08240		2							
ab08241		2							
ab08242		2							
ab08243		2							
ab08244		2							
ab08245		2							
ab08246		2							
ab08247		2							
ab08248		2							
ab08249		2							
ab08250		2							
ab08251		2							
ab08252		2							
ab08253		2							
ab08254		2						P1virus	P1virus(incomplete)
ab08255		2							
ab08256		2							
ab08257		2							
ab08258		2							
ab08259		2							
ab08260		2							
ab08261		2							
ab08262		2							
ab08263		2							
ab08264	I-F	79					I-Fa		
ab08265		2							
ab08266		2							
ab08267		229							
ab08268		2							
ab08269		2						P1virus	P1virus(incomplete)
ab08270		2							
ab08271		2							
ab08272		2							
ab08273		2							
ab08274		2							
ab08275		2							
ab08276		2							
ab08277		2							
ab08278		2							
ab08279		2							
ab08280		2							
ab08281		2							
ab08282		2							
ab08283		2							
ab08284		2							
ab08285		2							
ab08286		2							
ab08287		2							
ab08288		2							
ab08289		2							
ab08290		2							
ab08291		2							
ab08292		2						P1virus	
ab08293		2							
ab08294		2							
ab08295		2						P1virus	P1virus(incomplete)
ab08296		2							
ab08297		2							
ab08298		2						P1virus	P1virus(incomplete)
ab08299		2							
ab08300		2						P1virus	P1virus(incomplete)
ab08301		2							
ab08302		2							
ab08303		2							
ab08304		2							
ab08305		2							
ab08306		2						P1virus	
ab08307		2							
ab08308		238							
ab08309		238							
ab08310		46							
ab08311		2						P1virus	P1virus(incomplete)
ab08312		2						P1virus	P1virus(incomplete)
ab08313		2							
ab08314		2						P1virus	
ab08315	I-F	-					I-Fa		
ab08316		2						P1virus	P1virus(incomplete)
ab08317		2						P1virus	P1virus(incomplete)
ab08318		2						P1virus	P1virus(incomplete)
ab08319		2						P1virus	P1virus(incomplete)
ab08320		2						P1virus	P1virus(incomplete)
ab08321		2						P1virus	P1virus(incomplete)
ab08322	I-F	1					I-Fb		
ab08323		164							
ab08324	I-F	79					I-Fa		
ab08325		49		arrays	anycas	ambiguous		P1virus	
ab08326		2						P1virus	
ab08327		2						P1virus	
ab08328		2						P1virus	P1virus(incomplete)
ab08329		2						P1virus	P1virus(incomplete)
ab08330		15							
ab08331		15							
ab08332	I-F	1448					I-Fb		
ab08333		79							
ab08334		15							
ab08335		79							
ab08336		79						P1virus	P1virus(incomplete)
ab08337		730							
ab08338		1							
ab08339		-							
ab08340	I-F	25					I-Fb		
ab08341		15							
ab08342	I-F	25					I-Fb		
ab08343		79						P1virus	P1virus(incomplete)
ab08344		15							
ab08345	I-F	25					I-Fb		
ab08346		79							
ab08347		-							
ab08348		79							
ab08349		1							
ab08350	I-F	25					I-Fb		
ab08351		15							
ab08352		79						P1virus	P1virus(incomplete)
ab08353		1							
ab08354		79							
ab08355		15							
ab08356		79							
ab08357		1447							
ab08358	I-F	25					I-Fb		
ab08359		15							
ab08360		1							
ab08361		79							
ab08362		49			anycas	ambiguous		P1virus	
ab08363		1							
ab08364	I-F	25					I-Fb		
ab08365		15							
ab08366	I-F	25					I-Fb		
ab08367		1							
ab08368		79							
ab08369		79						P1virus	P1virus(incomplete)
ab08370		79							
ab08371		730							
ab08372		1							
ab08373		79							
ab08374		15							
ab08375		15							
ab08376		1							
ab08377		163							
ab08378		15							
ab08379	I-F	25					I-Fb		
ab08380		730							
ab08381		15							
ab08382		1							
ab08383		1							
ab08384		1							
ab08385		1							
ab08386		1							
ab08387		1							
ab08388		79							
ab08389	I-F	25					I-Fb		
ab08390		15							
ab08391		1							
ab08392		15							
ab08393		79						P1virus	P1virus(incomplete)
ab08394		20							
ab08395		15						P1virus	P1virus(incomplete)
ab08396	I-F	151					I-Fb		
ab08397		79							
ab08398	I-F	25					I-Fb		
ab08399		15							
ab08400		1							
ab08401		79							
ab08402		1							
ab08403	I-F	25					I-Fb		
ab08404		79						P1virus	P1virus(incomplete)
ab08405		1							
ab08406		15							
ab08407		1							
ab08408		-							
ab08409		187							
ab08410		2							
ab08411		187							
ab08412		745							
ab08413		187							
ab08414		745							
ab08415		79						P1virus	P1virus(incomplete)
ab08416		-							
ab08417		79							
ab08418		79							
ab08419		1							
ab08420	I-F	25					I-Fb		
ab08421		-							
ab08422		375							
ab08423		-							
ab08424		-							
ab08425		2						P1virus	
ab08426		2						P1virus	P1virus(incomplete)
ab08427		2						P1virus	
ab08428		2						P1virus	
ab08429		2							
ab08430	I-F,I-F	-					I-Fa,I-Fb		
ab08431	I-F	218					I-Fa		
ab08432		2						P1virus	
ab08433		2						P1virus	
ab08434		2						P1virus	
ab08435		2						P1virus	P1virus(incomplete)
ab08436		2						P1virus	
ab08437		2						P1virus	
ab08438		2						P1virus	
ab08439		1555						P1virus	P1virus(incomplete)
ab08440		1555						P1virus	P1virus(incomplete)
ab08441		1555						P1virus	P1virus(incomplete)
ab08442		1555						P1virus	P1virus(incomplete)
ab08443		570						P1virus	
ab08444		570						P1virus	
ab08445	I-F	438					I-Fa		
ab08446	I-F,I-F	848					I-Fa,I-Fb		
ab08447		78							
ab08448		79						P1virus	
ab08449		79							
ab08450		79						P1virus	P1virus(incomplete)
ab08451		79						P1virus	P1virus(incomplete)
ab08452		79						P1virus	
ab08453		79						P1virus	P1virus(incomplete)
